Location,Fighter 1,Fighter 2,Fighter_1_KD,Fighter_2_KD,Fighter_1_STR,Fighter_2_STR,Fighter_1_TD,Fighter_2_TD,Fighter_1_SUB,Fighter_2_SUB,Weight_Class,Method,Round,Time,Event Name,Date,Winner
"Uncasville, Connecticut, USA",Tim Sylvia,Wesley Correira,0,0,138,26,0,0,0,0,Heavyweight,KO/TKO,2,1:43,UFC 39,2002-09-27 0:00:00,Tim Sylvia
"Uncasville, Connecticut, USA",BJ Penn,Matt Serra,0,0,32,8,1,1,0,1,Lightweight,U-DEC,3,5:00,UFC 39,2002-09-27 0:00:00,BJ Penn
"Uncasville, Connecticut, USA",Sean Sherk,Benji Radach,0,0,6,7,1,0,0,0,Welterweight,KO/TKO,1,4:16,UFC 39,2002-09-27 0:00:00,Sean Sherk
"Uncasville, Connecticut, USA",Jens Pulver,BJ Penn,0,0,38,49,1,7,0,2,Lightweight,M-DEC,5,5:00,UFC 35,2002-01-11 0:00:00,Jens Pulver
"Uncasville, Connecticut, USA",Ricco Rodriguez,Jeff Monson,0,0,42,7,3,2,1,0,Heavyweight,KO/TKO Punches,3,3:00,UFC 35,2002-01-11 0:00:00,Ricco Rodriguez
"Uncasville, Connecticut, USA",Murilo Bustamante,Dave Menne,1,0,9,14,2,0,0,0,Middleweight,KO/TKO Punch,2,0:44,UFC 35,2002-01-11 0:00:00,Murilo Bustamante
"Uncasville, Connecticut, USA",Chuck Liddell,Amar Suloev,0,0,46,26,0,0,0,0,Light Heavyweight,U-DEC,3,5:00,UFC 35,2002-01-11 0:00:00,Chuck Liddell
"Uncasville, Connecticut, USA",Kevin Randleman,Renato Sobral,0,0,18,2,1,0,0,5,Light Heavyweight,U-DEC,3,5:00,UFC 35,2002-01-11 0:00:00,Kevin Randleman
"Tulsa, Oklahoma, USA",Rafael Dos Anjos,Benson Henderson,1,0,18,10,0,0,0,0,Lightweight,KO/TKO Punch,1,2:31,UFC Fight Night,2014-08-23 0:00:00,Rafael Dos Anjos
"Tulsa, Oklahoma, USA",Max Holloway,Clay Collard,0,0,124,70,0,1,0,0,Catch Weight,KO/TKO Punches,3,3:47,UFC Fight Night,2014-08-23 0:00:00,Max Holloway
"Toronto, Ontario, Canada",Max Holloway,Brian Ortega,0,0,290,110,1,2,0,0,Featherweight,KO/TKO,4,5:00,UFC 231,2018-12-08 0:00:00,Max Holloway
"Toronto, Ontario, Canada",Valentina Shevchenko,Joanna Jedrzejczyk,0,0,89,78,5,0,0,0,Women's Flyweight,U-DEC,5,5:00,UFC 231,2018-12-08 0:00:00,Valentina Shevchenko
"Toronto, Ontario, Canada",Max Holloway,Anthony Pettis,1,0,94,53,2,0,0,0,Featherweight,KO/TKO Punches,3,4:50,UFC 206,2016-12-10 0:00:00,Max Holloway
"Toronto, Ontario, Canada",Jon Jones,Alexander Gustafsson,0,0,134,110,1,1,0,0,Light Heavyweight,U-DEC,5,5:00,UFC 165,2013-09-21 0:00:00,Jon Jones
"Toronto, Ontario, Canada",Renan Barao,Eddie Wineland,1,0,28,11,0,0,0,0,Bantamweight,KO/TKO Spinning Back Kick,2,0:35,UFC 165,2013-09-21 0:00:00,Renan Barao
"Toronto, Ontario, Canada",Khabib Nurmagomedov,Pat Healy,0,0,54,44,5,0,0,0,Lightweight,U-DEC,3,5:00,UFC 165,2013-09-21 0:00:00,Khabib Nurmagomedov
"Toronto, Ontario, Canada",Jon Jones,Vitor Belfort,1,0,65,16,1,0,1,1,Light Heavyweight,SUB Keylock,4,0:54,UFC 152,2012-09-22 0:00:00,Jon Jones
"Toronto, Ontario, Canada",Demetrious Johnson,Joseph Benavidez,0,0,77,44,5,0,0,2,Flyweight,S-DEC,5,5:00,UFC 152,2012-09-22 0:00:00,Demetrious Johnson
"Toronto, Ontario, Canada",Michael Bisping,Brian Stann,0,0,64,57,4,0,0,0,Middleweight,U-DEC,3,5:00,UFC 152,2012-09-22 0:00:00,Michael Bisping
"Toronto, Ontario, Canada",Jon Jones,Lyoto Machida,1,0,24,13,1,0,1,0,Light Heavyweight,SUB Guillotine Choke,2,4:26,UFC 140,2011-12-10 0:00:00,Jon Jones
"Toronto, Ontario, Canada",Frank Mir,Antonio Rodrigo Nogueira,0,0,6,21,1,0,1,1,Heavyweight,SUB Kimura,1,3:38,UFC 140,2011-12-10 0:00:00,Frank Mir
"Toronto, Ontario, Canada",Georges St-Pierre,Jake Shields,0,0,85,78,2,0,0,0,Welterweight,U-DEC,5,5:00,UFC 129,2011-04-30 0:00:00,Georges St-Pierre
