Location,Fighter 1,Fighter 2,Fighter_1_KD,Fighter_2_KD,Fighter_1_STR,Fighter_2_STR,Fighter_1_TD,Fighter_2_TD,Fighter_1_SUB,Fighter_2_SUB,Weight_Class,Method,Round,Time,Event Name,Date,Winner
"Los Angeles, California, USA",Lyoto Machida,Ryan Bader,1,0,21,7,0,0,0,0,Light Heavyweight,KO/TKO Punch,2,1:32,UFC on FOX,2012-08-04 0:00:00,Lyoto Machida
"Los Angeles, California, USA",Lyoto Machida,Mauricio Rua,0,0,35,80,0,0,0,0,Light Heavyweight,U-DEC,5,5:00,UFC 104,2009-10-24 0:00:00,Lyoto Machida
"Los Angeles, California, USA",Cain Velasquez,Ben Rothwell,0,0,62,3,5,0,0,0,Heavyweight,KO/TKO Punches,2,0:58,UFC 104,2009-10-24 0:00:00,Cain Velasquez
"Los Angeles, California, USA",Matt Hughes,Royce Gracie,0,0,32,7,1,0,1,0,Catch Weight,KO/TKO Punches,1,4:39,UFC 60,2006-05-27 0:00:00,Matt Hughes
"London, England, United Kingdom",Tom Aspinall,Marcin Tybura,1,0,13,4,0,0,0,0,Heavyweight,KO/TKO Punch,1,1:13,UFC Fight Night,2023-07-22 0:00:00,Tom Aspinall
"London, England, United Kingdom",Leon Edwards,Kamaru Usman,0,0,120,87,0,4,0,0,Welterweight,M-DEC,5,5:00,UFC 286,2023-03-18 0:00:00,Leon Edwards
"London, England, United Kingdom",Tom Aspinall,Alexander Volkov,0,0,29,13,2,0,1,0,Heavyweight,SUB Straight Armbar,1,3:45,UFC Fight Night,2022-03-19 0:00:00,Tom Aspinall
"London, England, United Kingdom",Ilia Topuria,Jai Herbert,1,1,20,22,1,0,0,0,Lightweight,KO/TKO Punch,2,1:07,UFC Fight Night,2022-03-19 0:00:00,Ilia Topuria
"London, England, United Kingdom",Leon Edwards,Gunnar Nelson,1,0,31,9,2,3,0,0,Welterweight,S-DEC,3,5:00,UFC Fight Night,2019-03-16 0:00:00,Leon Edwards
"London, England, United Kingdom",Jan Blachowicz,Jimi Manuwa,1,0,97,37,1,0,0,0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night,2018-03-17 0:00:00,Jan Blachowicz
"London, England, United Kingdom",Leon Edwards,Peter Sobotta,1,0,42,16,1,1,0,0,Welterweight,KO/TKO Punch,3,4:59,UFC Fight Night,2018-03-17 0:00:00,Leon Edwards
"London, England, United Kingdom",Leon Edwards,Vicente Luque,0,0,53,24,3,2,0,0,Welterweight,U-DEC,3,5:00,UFC Fight Night,2017-03-18 0:00:00,Leon Edwards
"London, England, United Kingdom",Michael Bisping,Anderson Silva,1,1,108,75,0,0,0,0,Middleweight,U-DEC,5,5:00,UFC Fight Night,2016-02-27 0:00:00,Michael Bisping
"London, England, United Kingdom",Renan Barao,Michael McDonald,0,0,36,26,4,0,1,0,Bantamweight,SUB Arm Triangle,4,3:57,UFC on FUEL TV,2013-02-16 0:00:00,Renan Barao
"London, England, United Kingdom",Michael Bisping,Yoshihiro Akiyama,0,0,118,50,0,0,0,0,Middleweight,U-DEC,3,5:00,UFC 120,2010-10-16 0:00:00,Michael Bisping
"London, England, United Kingdom",Junior Dos Santos,Stefan Struve,2,0,12,0,0,0,0,0,Heavyweight,KO/TKO Punches,1,0:54,UFC 95,2009-02-21 0:00:00,Junior Dos Santos
"London, England, United Kingdom",Michael Bisping,Jason Day,0,0,25,7,2,0,0,0,Middleweight,KO/TKO Punches,1,3:42,UFC 85,2008-06-07 0:00:00,Michael Bisping
"London, England, United Kingdom",Fabricio Werdum,Brandon Vera,0,0,15,15,2,0,0,0,Heavyweight,KO/TKO Punches,1,4:40,UFC 85,2008-06-07 0:00:00,Fabricio Werdum
"London, England, United Kingdom",Quinton Jackson,Dan Henderson,1,0,74,60,2,3,0,3,Light Heavyweight,U-DEC,5,5:00,UFC 75,2007-09-08 0:00:00,Quinton Jackson
"London, England, United Kingdom",Michael Bisping,Matt Hamill,0,0,47,56,0,6,0,0,Light Heavyweight,S-DEC,3,5:00,UFC 75,2007-09-08 0:00:00,Michael Bisping
"London, England, United Kingdom",Matt Hughes,Carlos Newton,0,0,58,3,4,0,1,1,Welterweight,KO/TKO Punches,4,3:37,UFC 38,2002-07-13 0:00:00,Matt Hughes
"London, England, United Kingdom",Evan Tanner,Chris Haseman,0,0,70,14,3,0,0,2,Light Heavyweight,U-DEC,3,5:00,UFC 38,2002-07-13 0:00:00,Evan Tanner
"Lincoln, Nebraska, USA",Deiveson Figueiredo,John Moraga,2,0,29,14,2,0,1,1,Flyweight,KO/TKO Punch,2,3:08,UFC Fight Night,2018-08-25 0:00:00,Deiveson Figueiredo
"Las Vegas, Nevada, USA",Alexa Grasso,Valentina Shevchenko,1,0,84,80,1,4,1,1,Women's Flyweight,S-DEC,5,5:00,UFC Fight Night,2023-09-16 0:00:00,Alexa Grasso
"Las Vegas, Nevada, USA",Holly Holm,Mayra Bueno Silva,0,0,27,20,0,0,0,1,Women's Bantamweight,Overturned Guillotine Choke,2,0:38,UFC Fight Night,2023-07-15 0:00:00,Holly Holm
"Las Vegas, Nevada, USA",Alexander Volkanovski,Yair Rodriguez,0,0,66,40,7,0,0,0,Featherweight,KO/TKO Punches,3,4:19,UFC 290,2023-07-08 0:00:00,Alexander Volkanovski
"Las Vegas, Nevada, USA",Alexandre Pantoja,Brandon Moreno,1,0,129,147,6,2,0,0,Flyweight,S-DEC,5,5:00,UFC 290,2023-07-08 0:00:00,Alexandre Pantoja
"Las Vegas, Nevada, USA",Dricus Du Plessis,Robert Whittaker,1,0,62,31,1,1,0,0,Middleweight,KO/TKO Punches,2,2:23,UFC 290,2023-07-08 0:00:00,Dricus Du Plessis
"Las Vegas, Nevada, USA",Robbie Lawler,Niko Price,1,0,8,2,0,0,0,0,Welterweight,KO/TKO Punches,1,0:38,UFC 290,2023-07-08 0:00:00,Robbie Lawler
"Las Vegas, Nevada, USA",Sean Strickland,Abus Magomedov,1,0,81,47,0,1,0,0,Middleweight,KO/TKO Punches,2,4:20,UFC Fight Night,2023-07-01 0:00:00,Sean Strickland
"Las Vegas, Nevada, USA",Merab Dvalishvili,Petr Yan,0,0,147,75,11,1,0,0,Bantamweight,U-DEC,5,5:00,UFC Fight Night,2023-03-11 0:00:00,Merab Dvalishvili
"Las Vegas, Nevada, USA",Jon Jones,Ciryl Gane,0,0,5,6,2,0,1,0,Heavyweight,SUB Guillotine Choke,1,2:04,UFC 285,2023-03-04 0:00:00,Jon Jones
"Las Vegas, Nevada, USA",Alexa Grasso,Valentina Shevchenko,0,0,59,87,0,4,1,0,Women's Flyweight,SUB Rear Naked Choke,4,4:34,UFC 285,2023-03-04 0:00:00,Alexa Grasso
"Las Vegas, Nevada, USA",Cody Garbrandt,Trevin Jones,0,0,26,20,2,1,0,1,Bantamweight,U-DEC,3,5:00,UFC 285,2023-03-04 0:00:00,Cody Garbrandt
"Las Vegas, Nevada, USA",Dricus Du Plessis,Derek Brunson,1,0,71,37,1,1,1,1,Middleweight,KO/TKO Punches,2,4:59,UFC 285,2023-03-04 0:00:00,Dricus Du Plessis
"Las Vegas, Nevada, USA",Sean Strickland,Nassourdine Imavov,0,0,182,123,1,0,0,0,Light Heavyweight,U-DEC,5,5:00,UFC Fight Night,2023-01-14 0:00:00,Sean Strickland
"Las Vegas, Nevada, USA",Raquel Pennington,Ketlen Vieira,0,0,81,64,0,0,0,0,Women's Bantamweight,S-DEC,3,5:00,UFC Fight Night,2023-01-14 0:00:00,Raquel Pennington
"Las Vegas, Nevada, USA",Jan Blachowicz,Magomed Ankalaev,0,0,55,78,0,2,0,0,Light Heavyweight,S-DEC,5,5:00,UFC 282,2022-12-10 0:00:00,Jan Blachowicz
"Las Vegas, Nevada, USA",Dricus Du Plessis,Darren Till,0,0,86,35,6,1,3,0,Middleweight,SUB Neck Crank,3,2:43,UFC 282,2022-12-10 0:00:00,Dricus Du Plessis
"Las Vegas, Nevada, USA",Ilia Topuria,Bryce Mitchell,1,0,40,36,0,1,1,0,Featherweight,SUB Arm Triangle,2,3:10,UFC 282,2022-12-10 0:00:00,Ilia Topuria
"Las Vegas, Nevada, USA",Alexa Grasso,Viviane Araujo,0,0,153,126,0,2,0,0,Women's Flyweight,U-DEC,5,5:00,UFC Fight Night,2022-10-15 0:00:00,Alexa Grasso
"Las Vegas, Nevada, USA",Jamahal Hill,Thiago Santos,0,0,89,53,0,6,0,0,Light Heavyweight,KO/TKO Elbows,4,2:31,UFC Fight Night,2022-08-06 0:00:00,Jamahal Hill
"Las Vegas, Nevada, USA",Israel Adesanya,Jared Cannonier,0,0,116,90,0,0,0,0,Middleweight,U-DEC,5,5:00,UFC 276,2022-07-02 0:00:00,Israel Adesanya
"Las Vegas, Nevada, USA",Alexander Volkanovski,Max Holloway,0,0,199,127,0,0,0,0,Featherweight,U-DEC,5,5:00,UFC 276,2022-07-02 0:00:00,Alexander Volkanovski
"Las Vegas, Nevada, USA",Alex Pereira,Sean Strickland,1,0,25,15,0,0,0,0,Middleweight,KO/TKO Punches,1,2:36,UFC 276,2022-07-02 0:00:00,Alex Pereira
"Las Vegas, Nevada, USA",Dricus Du Plessis,Brad Tavares,0,0,113,82,0,0,0,0,Middleweight,U-DEC,3,5:00,UFC 276,2022-07-02 0:00:00,Dricus Du Plessis
"Las Vegas, Nevada, USA",Jan Blachowicz,Aleksandar Rakic,0,0,31,27,0,1,1,0,Light Heavyweight,KO/TKO,3,1:11,UFC Fight Night,2022-05-14 0:00:00,Jan Blachowicz
"Las Vegas, Nevada, USA",Andrei Arlovski,Jake Collier,0,0,91,93,0,2,0,0,Heavyweight,S-DEC,3,5:00,UFC Fight Night,2022-04-30 0:00:00,Andrei Arlovski
"Las Vegas, Nevada, USA",Jessica Andrade,Amanda Lemos,0,0,3,7,0,0,1,0,Women's Strawweight,SUB Arm Triangle,1,3:13,UFC Fight Night,2022-04-23 0:00:00,Jessica Andrade
"Las Vegas, Nevada, USA",Belal Muhammad,Vicente Luque,0,0,60,84,5,0,0,0,Welterweight,U-DEC,5,5:00,UFC Fight Night,2022-04-16 0:00:00,Belal Muhammad
"Las Vegas, Nevada, USA",Magomed Ankalaev,Thiago Santos,0,1,78,60,1,0,0,0,Light Heavyweight,U-DEC,5,5:00,UFC Fight Night,2022-03-12 0:00:00,Magomed Ankalaev
"Las Vegas, Nevada, USA",Alex Pereira,Bruno Silva,0,0,108,59,0,2,0,0,Middleweight,U-DEC,3,5:00,UFC Fight Night,2022-03-12 0:00:00,Alex Pereira
"Las Vegas, Nevada, USA",Rafael Dos Anjos,Renato Moicano,1,0,149,88,5,0,0,0,Catch Weight,U-DEC,5,5:00,UFC 272,2022-03-05 0:00:00,Rafael Dos Anjos
"Las Vegas, Nevada, USA",Islam Makhachev,Bobby Green,0,0,14,9,1,0,0,0,Catch Weight,KO/TKO Punches,1,3:23,UFC Fight Night,2022-02-26 0:00:00,Islam Makhachev
"Las Vegas, Nevada, USA",Jamahal Hill,Johnny Walker,1,0,6,12,0,0,0,0,Light Heavyweight,KO/TKO Punch,1,2:55,UFC Fight Night,2022-02-19 0:00:00,Jamahal Hill
"Las Vegas, Nevada, USA",Sean Strickland,Jack Hermansson,0,0,153,137,0,0,0,0,Middleweight,S-DEC,5,5:00,UFC Fight Night,2022-02-05 0:00:00,Sean Strickland
"Las Vegas, Nevada, USA",Belal Muhammad,Stephen Thompson,0,0,58,19,7,0,1,0,Welterweight,U-DEC,3,5:00,UFC Fight Night,2021-12-18 0:00:00,Belal Muhammad
"Las Vegas, Nevada, USA",Raquel Pennington,Macy Chiasson,0,0,45,26,0,1,1,0,Women's Featherweight,SUB Guillotine Choke,2,3:07,UFC Fight Night,2021-12-18 0:00:00,Raquel Pennington
"Las Vegas, Nevada, USA",Charles Oliveira,Dustin Poirier,0,1,73,58,0,0,3,0,Lightweight,SUB Rear Naked Choke,3,1:02,UFC 269,2021-12-11 0:00:00,Charles Oliveira
"Las Vegas, Nevada, USA",Julianna Pena,Amanda Nunes,0,0,79,46,1,1,1,0,Women's Bantamweight,SUB Rear Naked Choke,2,3:26,UFC 269,2021-12-11 0:00:00,Julianna Pena
"Las Vegas, Nevada, USA",Sean O'Malley,Raulian Paiva,1,0,39,11,0,0,0,0,Bantamweight,KO/TKO Punches,1,4:42,UFC 269,2021-12-11 0:00:00,Sean O'Malley
"Las Vegas, Nevada, USA",Dominick Cruz,Pedro Munhoz,0,1,103,74,1,0,0,0,Bantamweight,U-DEC,3,5:00,UFC 269,2021-12-11 0:00:00,Dominick Cruz
"Las Vegas, Nevada, USA",Jose Aldo,Rob Font,2,0,86,149,0,1,1,0,Bantamweight,U-DEC,5,5:00,UFC Fight Night,2021-12-04 0:00:00,Jose Aldo
"Las Vegas, Nevada, USA",Jamahal Hill,Jimmy Crute,1,0,4,6,0,0,0,0,Light Heavyweight,KO/TKO Punch,1,0:48,UFC Fight Night,2021-12-04 0:00:00,Jamahal Hill
"Las Vegas, Nevada, USA",Max Holloway,Yair Rodriguez,0,0,230,159,3,1,1,0,Featherweight,U-DEC,5,5:00,UFC Fight Night,2021-11-13 0:00:00,Max Holloway
"Las Vegas, Nevada, USA",Andrei Arlovski,Carlos Felipe,0,0,83,73,0,0,0,0,Heavyweight,U-DEC,3,5:00,UFC Fight Night,2021-10-16 0:00:00,Andrei Arlovski
"Las Vegas, Nevada, USA",Alexander Volkanovski,Brian Ortega,0,0,214,88,0,2,0,3,Featherweight,U-DEC,5,5:00,UFC 266,2021-09-25 0:00:00,Alexander Volkanovski
"Las Vegas, Nevada, USA",Valentina Shevchenko,Lauren Murphy,0,0,98,11,3,0,0,0,Women's Flyweight,KO/TKO Punches,4,4:00,UFC 266,2021-09-25 0:00:00,Valentina Shevchenko
"Las Vegas, Nevada, USA",Robbie Lawler,Nick Diaz,0,0,131,150,0,0,0,0,Middleweight,KO/TKO Punch,3,0:44,UFC 266,2021-09-25 0:00:00,Robbie Lawler
"Las Vegas, Nevada, USA",Jessica Andrade,Cynthia Calvillo,0,0,48,27,0,0,0,0,Women's Flyweight,KO/TKO Punches,1,4:54,UFC 266,2021-09-25 0:00:00,Jessica Andrade
"Las Vegas, Nevada, USA",Merab Dvalishvili,Marlon Moraes,0,1,69,29,4,0,0,0,Bantamweight,KO/TKO Punches,2,4:25,UFC 266,2021-09-25 0:00:00,Merab Dvalishvili
"Las Vegas, Nevada, USA",Raquel Pennington,Pannie Kianzad,0,0,48,50,1,1,0,0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night,2021-09-18 0:00:00,Raquel Pennington
"Las Vegas, Nevada, USA",Tom Aspinall,Serghei Spivac,1,0,16,0,0,0,0,0,Heavyweight,KO/TKO Elbow,1,2:30,UFC Fight Night,2021-09-04 0:00:00,Tom Aspinall
"Las Vegas, Nevada, USA",Alexandre Pantoja,Brandon Royval,0,0,22,17,3,1,2,0,Flyweight,SUB Rear Naked Choke,2,1:46,UFC Fight Night,2021-08-21 0:00:00,Alexandre Pantoja
"Las Vegas, Nevada, USA",Sean Strickland,Uriah Hall,0,0,186,107,4,0,0,0,Middleweight,U-DEC,5,5:00,UFC Fight Night,2021-07-31 0:00:00,Sean Strickland
"Las Vegas, Nevada, USA",TJ Dillashaw,Cory Sandhagen,0,0,110,128,2,0,0,1,Bantamweight,S-DEC,5,5:00,UFC Fight Night,2021-07-24 0:00:00,TJ Dillashaw
"Las Vegas, Nevada, USA",Islam Makhachev,Thiago Moises,0,0,61,13,3,1,1,1,Lightweight,SUB Rear Naked Choke,4,2:38,UFC Fight Night,2021-07-17 0:00:00,Islam Makhachev
"Las Vegas, Nevada, USA",Miesha Tate,Marion Reneau,0,0,65,25,3,0,0,0,Women's Bantamweight,KO/TKO Elbows,3,1:53,UFC Fight Night,2021-07-17 0:00:00,Miesha Tate
"Las Vegas, Nevada, USA",Sean O'Malley,Kris Moutinho,1,0,230,70,0,0,0,0,Bantamweight,KO/TKO Punches,3,4:33,UFC 264,2021-07-10 0:00:00,Sean O'Malley
"Las Vegas, Nevada, USA",Ilia Topuria,Ryan Hall,0,0,18,10,0,0,0,0,Featherweight,KO/TKO Punches,1,4:47,UFC 264,2021-07-10 0:00:00,Ilia Topuria
"Las Vegas, Nevada, USA",Dricus Du Plessis,Trevin Giles,1,0,25,10,2,0,0,0,Middleweight,KO/TKO Punch,2,1:41,UFC 264,2021-07-10 0:00:00,Dricus Du Plessis
"Las Vegas, Nevada, USA",Carla Esparza,Yan Xiaonan,0,0,27,5,3,0,0,0,Women's Strawweight,KO/TKO Punches,2,2:58,UFC Fight Night,2021-05-22 0:00:00,Carla Esparza
"Las Vegas, Nevada, USA",Jiri Prochazka,Dominick Reyes,1,0,77,63,1,1,0,1,Light Heavyweight,KO/TKO Spinning Back Elbow,2,4:29,UFC Fight Night,2021-05-01 0:00:00,Jiri Prochazka
"Las Vegas, Nevada, USA",Sean Strickland,Krzysztof Jotko,0,0,84,37,0,0,0,0,Middleweight,U-DEC,3,5:00,UFC Fight Night,2021-05-01 0:00:00,Sean Strickland
"Las Vegas, Nevada, USA",Merab Dvalishvili,Cody Stamann,0,0,71,48,5,1,1,0,Bantamweight,U-DEC,3,5:00,UFC Fight Night,2021-05-01 0:00:00,Merab Dvalishvili
"Las Vegas, Nevada, USA",Robert Whittaker,Kelvin Gastelum,0,0,150,62,4,1,0,0,Middleweight,U-DEC,5,5:00,UFC Fight Night,2021-04-17 0:00:00,Robert Whittaker
"Las Vegas, Nevada, USA",Andrei Arlovski,Chase Sherman,0,0,105,88,0,0,0,0,Heavyweight,U-DEC,3,5:00,UFC Fight Night,2021-04-17 0:00:00,Andrei Arlovski
"Las Vegas, Nevada, USA",Francis Ngannou,Stipe Miocic,2,0,36,12,1,0,0,0,Heavyweight,KO/TKO Punch,2,0:52,UFC 260,2021-03-27 0:00:00,Francis Ngannou
"Las Vegas, Nevada, USA",Sean O'Malley,Thomas Almeida,2,0,86,25,0,1,0,0,Bantamweight,KO/TKO Punch,3,3:52,UFC 260,2021-03-27 0:00:00,Sean O'Malley
"Las Vegas, Nevada, USA",Leon Edwards,Belal Muhammad,0,0,19,8,0,0,0,0,Welterweight,CNC,2,0:18,UFC Fight Night,2021-03-13 0:00:00,Leon Edwards
"Las Vegas, Nevada, USA",Jan Blachowicz,Israel Adesanya,0,0,107,78,3,0,0,0,Light Heavyweight,U-DEC,5,5:00,UFC 259,2021-03-06 0:00:00,Jan Blachowicz
"Las Vegas, Nevada, USA",Amanda Nunes,Megan Anderson,0,0,18,2,0,0,2,0,Women's Featherweight,SUB Triangle Armbar,1,2:03,UFC 259,2021-03-06 0:00:00,Amanda Nunes
"Las Vegas, Nevada, USA",Aljamain Sterling,Petr Yan,0,1,97,86,1,7,0,0,Bantamweight,DQ,4,4:29,UFC 259,2021-03-06 0:00:00,Aljamain Sterling
"Las Vegas, Nevada, USA",Islam Makhachev,Drew Dober,0,0,15,10,3,0,2,0,Lightweight,SUB Arm Triangle,3,1:37,UFC 259,2021-03-06 0:00:00,Islam Makhachev
"Las Vegas, Nevada, USA",Dominick Cruz,Casey Kenney,0,0,89,74,2,0,0,0,Bantamweight,S-DEC,3,5:00,UFC 259,2021-03-06 0:00:00,Dominick Cruz
"Las Vegas, Nevada, USA",Magomed Ankalaev,Nikita Krylov,0,0,43,47,3,1,0,0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night,2021-02-27 0:00:00,Magomed Ankalaev
"Las Vegas, Nevada, USA",Tom Aspinall,Andrei Arlovski,0,0,37,20,1,0,1,0,Heavyweight,SUB Rear Naked Choke,2,1:09,UFC Fight Night,2021-02-20 0:00:00,Tom Aspinall
"Las Vegas, Nevada, USA",Kamaru Usman,Gilbert Burns,2,0,83,45,0,0,0,0,Welterweight,KO/TKO Punches,3,0:34,UFC 258,2021-02-13 0:00:00,Kamaru Usman
"Las Vegas, Nevada, USA",Alexa Grasso,Maycee Barber,0,0,38,40,0,3,1,0,Women's Flyweight,U-DEC,3,5:00,UFC 258,2021-02-13 0:00:00,Alexa Grasso
"Las Vegas, Nevada, USA",Belal Muhammad,Dhiego Lima,0,0,129,69,1,0,0,0,Welterweight,U-DEC,3,5:00,UFC 258,2021-02-13 0:00:00,Belal Muhammad
"Las Vegas, Nevada, USA",Alexandre Pantoja,Manel Kape,0,0,74,49,0,2,0,0,Flyweight,U-DEC,3,5:00,UFC Fight Night,2021-02-06 0:00:00,Alexandre Pantoja
"Las Vegas, Nevada, USA",Jose Aldo,Marlon Vera,0,0,44,46,0,0,0,0,Bantamweight,U-DEC,3,5:00,UFC Fight Night,2020-12-19 0:00:00,Jose Aldo
"Las Vegas, Nevada, USA",Anthony Pettis,Alex Morono,0,0,50,31,0,1,0,0,Welterweight,U-DEC,3,5:00,UFC Fight Night,2020-12-19 0:00:00,Anthony Pettis
"Las Vegas, Nevada, USA",Deiveson Figueiredo,Brandon Moreno,0,0,137,132,2,4,0,0,Flyweight,M-DEC,5,5:00,UFC 256,2020-12-12 0:00:00,Deiveson Figueiredo
"Las Vegas, Nevada, USA",Charles Oliveira,Tony Ferguson,0,0,41,19,3,0,3,0,Lightweight,U-DEC,3,5:00,UFC 256,2020-12-12 0:00:00,Charles Oliveira
"Las Vegas, Nevada, USA",Jamahal Hill,Ovince Saint Preux,0,0,68,36,0,0,0,0,Light Heavyweight,KO/TKO Punches,2,3:37,UFC Fight Night,2020-12-05 0:00:00,Jamahal Hill
"Las Vegas, Nevada, USA",Ilia Topuria,Damon Jackson,1,0,31,16,0,0,0,0,Featherweight,KO/TKO Punch,1,2:38,UFC Fight Night,2020-12-05 0:00:00,Ilia Topuria
"Las Vegas, Nevada, USA",Deiveson Figueiredo,Alex Perez,0,0,5,6,0,0,1,0,Flyweight,SUB Guillotine Choke,1,1:57,UFC 255,2020-11-21 0:00:00,Deiveson Figueiredo
"Las Vegas, Nevada, USA",Valentina Shevchenko,Jennifer Maia,0,0,62,36,5,1,0,0,Women's Flyweight,U-DEC,5,5:00,UFC 255,2020-11-21 0:00:00,Valentina Shevchenko
"Las Vegas, Nevada, USA",Brandon Moreno,Brandon Royval,0,0,16,17,2,0,2,0,Flyweight,KO/TKO Punches,1,4:59,UFC 255,2020-11-21 0:00:00,Brandon Moreno
"Las Vegas, Nevada, USA",Rafael Dos Anjos,Paul Felder,0,0,92,98,6,1,0,0,Lightweight,S-DEC,5,5:00,UFC Fight Night,2020-11-14 0:00:00,Rafael Dos Anjos
"Las Vegas, Nevada, USA",Sean Strickland,Brendan Allen,1,0,94,51,1,0,0,0,Catch Weight,KO/TKO Punches,2,1:32,UFC Fight Night,2020-11-14 0:00:00,Sean Strickland
"Las Vegas, Nevada, USA",Glover Teixeira,Thiago Santos,0,1,46,40,4,0,2,0,Light Heavyweight,SUB Rear Naked Choke,3,1:49,UFC Fight Night,2020-11-07 0:00:00,Glover Teixeira
"Las Vegas, Nevada, USA",Andrei Arlovski,Tanner Boser,0,0,34,68,0,0,0,0,Heavyweight,U-DEC,3,5:00,UFC Fight Night,2020-11-07 0:00:00,Andrei Arlovski
"Las Vegas, Nevada, USA",Sean Strickland,Jack Marshman,0,0,106,48,0,0,0,0,Middleweight,U-DEC,3,5:00,UFC Fight Night,2020-10-31 0:00:00,Sean Strickland
"Las Vegas, Nevada, USA",Alexa Grasso,Ji Yeon Kim,0,0,88,68,1,0,0,0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night,2020-08-29 0:00:00,Alexa Grasso
"Las Vegas, Nevada, USA",Frankie Edgar,Pedro Munhoz,0,0,135,166,2,0,0,0,Bantamweight,S-DEC,5,5:00,UFC Fight Night,2020-08-22 0:00:00,Frankie Edgar
"Las Vegas, Nevada, USA",Stipe Miocic,Daniel Cormier,1,0,115,105,0,1,0,0,Heavyweight,U-DEC,5,5:00,UFC 252,2020-08-15 0:00:00,Stipe Miocic
"Las Vegas, Nevada, USA",Merab Dvalishvili,John Dodson,0,0,50,27,2,0,0,0,Bantamweight,U-DEC,3,5:00,UFC 252,2020-08-15 0:00:00,Merab Dvalishvili
"Las Vegas, Nevada, USA",Chris Weidman,Omari Akhmedov,0,0,29,33,5,4,0,0,Middleweight,U-DEC,3,5:00,UFC Fight Night,2020-08-08 0:00:00,Chris Weidman
"Las Vegas, Nevada, USA",Raquel Pennington,Marion Reneau,0,0,107,46,1,2,0,0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night,2020-06-20 0:00:00,Raquel Pennington
"Las Vegas, Nevada, USA",Belal Muhammad,Lyman Good,0,0,82,81,2,0,0,0,Welterweight,U-DEC,3,5:00,UFC Fight Night,2020-06-20 0:00:00,Belal Muhammad
"Las Vegas, Nevada, USA",Merab Dvalishvili,Gustavo Lopez,0,0,73,14,13,0,2,0,Catch Weight,U-DEC,3,5:00,UFC Fight Night,2020-06-13 0:00:00,Merab Dvalishvili
"Las Vegas, Nevada, USA",Amanda Nunes,Felicia Spencer,0,0,124,42,6,0,1,0,Women's Featherweight,U-DEC,5,5:00,UFC 250,2020-06-06 0:00:00,Amanda Nunes
"Las Vegas, Nevada, USA",Cody Garbrandt,Raphael Assuncao,1,0,19,17,0,0,0,0,Bantamweight,KO/TKO Punch,2,4:59,UFC 250,2020-06-06 0:00:00,Cody Garbrandt
"Las Vegas, Nevada, USA",Aljamain Sterling,Cory Sandhagen,0,0,2,1,0,0,2,0,Bantamweight,SUB Rear Naked Choke,1,1:28,UFC 250,2020-06-06 0:00:00,Aljamain Sterling
"Las Vegas, Nevada, USA",Sean O'Malley,Eddie Wineland,1,0,13,4,0,0,0,0,Bantamweight,KO/TKO Punch,1,1:54,UFC 250,2020-06-06 0:00:00,Sean O'Malley
"Las Vegas, Nevada, USA",Jamahal Hill,Klidson Abreu,2,0,14,5,0,0,0,0,Light Heavyweight,Overturned Knee,1,1:51,UFC Fight Night,2020-05-30 0:00:00,Jamahal Hill
"Las Vegas, Nevada, USA",Israel Adesanya,Yoel Romero,0,0,48,40,0,0,0,0,Middleweight,U-DEC,5,5:00,UFC 248,2020-03-07 0:00:00,Israel Adesanya
"Las Vegas, Nevada, USA",Zhang Weili,Joanna Jedrzejczyk,0,0,165,186,1,0,0,0,Women's Strawweight,S-DEC,5,5:00,UFC 248,2020-03-07 0:00:00,Zhang Weili
"Las Vegas, Nevada, USA",Sean O'Malley,Jose Quinonez,0,0,18,0,0,0,0,0,Bantamweight,KO/TKO Punches,1,2:02,UFC 248,2020-03-07 0:00:00,Sean O'Malley
"Las Vegas, Nevada, USA",Conor McGregor,Donald Cerrone,1,0,19,0,0,0,0,0,Welterweight,KO/TKO Punches,1,0:40,UFC 246,2020-01-18 0:00:00,Conor McGregor
"Las Vegas, Nevada, USA",Holly Holm,Raquel Pennington,0,0,30,38,0,1,0,0,Women's Bantamweight,U-DEC,3,5:00,UFC 246,2020-01-18 0:00:00,Holly Holm
"Las Vegas, Nevada, USA",Kamaru Usman,Colby Covington,2,0,175,143,0,0,0,0,Welterweight,KO/TKO Punch,5,4:10,UFC 245,2019-12-14 0:00:00,Kamaru Usman
"Las Vegas, Nevada, USA",Alexander Volkanovski,Max Holloway,0,0,157,134,0,0,0,0,Featherweight,U-DEC,5,5:00,UFC 245,2019-12-14 0:00:00,Alexander Volkanovski
"Las Vegas, Nevada, USA",Amanda Nunes,Germaine de Randamie,0,0,79,40,8,0,2,1,Women's Bantamweight,U-DEC,5,5:00,UFC 245,2019-12-14 0:00:00,Amanda Nunes
"Las Vegas, Nevada, USA",Petr Yan,Urijah Faber,3,0,54,18,2,0,0,0,Bantamweight,KO/TKO Kick,3,0:43,UFC 245,2019-12-14 0:00:00,Petr Yan
"Las Vegas, Nevada, USA",Brandon Moreno,Kai Kara-France,0,0,91,82,0,0,0,0,Flyweight,U-DEC,3,5:00,UFC 245,2019-12-14 0:00:00,Brandon Moreno
